Lat,Lon,Name,Routes/0,Routes/1,Routes/2,Routes/3,StopID,Routes/4,Routes/5,Routes/6,Routes/7,Routes/8,Routes/9,Routes/10,Routes/11,Routes/12,Routes/13,Routes/14,Routes/15,Routes/16,Routes/17,Routes/18,Routes/19,Routes/20,Routes/21,Routes/22,Routes/23,Routes/24,Routes/25,Routes/26,Routes/27,Routes/28,Routes/29,Routes/30,Routes/31,Routes/32,Routes/33,Routes/34,Routes/35,Routes/36,Routes/37,Routes/38,Routes/39,Routes/40,Routes/41,Routes/42,Routes/43,Routes/44,Routes/45,Routes/46,Routes/47,Routes/48,Routes/49,Routes/50,Routes/51,Routes/52,Routes/53,Routes/54,Routes/55,Routes/56,Routes/57,Routes/58
38.832962,-77.122586,#1801 BEAUREGARD ST,7A,7F,7W,7X,4000472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.889022,-76.939079,#4805 TEXAS AVE SE,U5,U5v2,U6,U6v2,1003031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.877916,-77.13948,10TH RD + LIVINGSTON ST,1E,,,,6000459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.879562,-77.143339,10TH RD + MADISON ST,1E,,,,6000488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.879669,-77.142766,10TH RD + MADISON ST,1E,,,,6000490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.87898,-77.140871,10TH RD + PATRICK HENRY DR,1E,,,,6000474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.878744,-77.140448,10TH RD + PATRICK HENRY DR,1E,,,,6000469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.892437,-77.026118,10TH ST + CONSTITUTION AVE (63 & 64 ONLY),63,64,,,1003570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.892778,-77.026124,10TH ST + CONSTITUTION AVE (S2 S4 ONLY),S2,S2cv3,S2v2,S2v3,1003432,S2v5,S4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.935588,-76.993132,10TH ST + MICHIGAN AVE,H6,H8,R4,,1002206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.89406,-77.025815,10TH ST + PENNSYLVANIA AVE NW,A42,A42v1,A46,A46v1,1003287,A48,A48v1,P6c,P6v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.937204,-76.993694,10TH ST + PERRY PL,H8,,,,1002242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.937095,-76.993526,10TH ST + PERRY PL,H8,H9,,,1002234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.939265,-76.992797,10TH ST + RANDOLPH ST,H8,H9,,,1002281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.938709,-76.993231,10TH ST + RANDOLPH ST,H8,,,,1002280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.940067,-76.992581,10TH ST + SHEPHERD ST,H8,H9,,,1002306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.935823,-76.993071,10TH ST NE + MICHIGAN AVE NE,H8,H9,,,1002213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.893818,-77.02609,10TH ST NW + PENNSYLVANIA AVE NW,D1,N3,N3v1,,1003691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.893649,-77.025842,10TH ST NW + PENNSYLVANIA AVE NW,33,34,37,,1003288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.84399,-76.991549,11TH PL + ALABAMA AVE,W2,W2v1,W2v3,W2v4,1000152,W3,W3v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.841506,-76.991239,11TH PL + CONGRESS ST,W2,W2c,W2v1,W2v3,1000125,W2v4,W2v5,W3,W3v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.842862,-76.99149,11TH PL + SAVANNAH PL,W2,W2c,W2v1,W2v3,1000141,W2v4,W2v5,W3,W3v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.84262,-76.991316,11TH PL + SAVANNAH ST,W2,W2v1,W2v3,W2v4,1000136,W3,W3v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.922549,-77.027137,11TH ST + CLIFTON ST,64,,,,1003050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.924521,-77.027134,11TH ST + FAIRMONT ST,64,,,,1003049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.920956,-77.027137,11TH ST + FLORIDA AVE,64,,,,1003051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.926528,-77.027134,11TH ST + HARVARD ST,64,,,,1003048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.901511,-77.027171,11TH ST + I ST,64,,,,1003466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.930572,-77.027862,11TH ST + LAMONT ST,64,H8,,,1002058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.006719,-76.775201,11TH ST + MYRTLE AVE,B27,,,,3002384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.006809,-76.775686,11TH ST + MYRTLE AVE,B27,,,,3002383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.910948,-77.026925,11TH ST + Q ST,63,64,,,1001505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.912754,-77.027152,11TH ST + R ST,63,64,,,1001558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.910868,-77.027153,11TH ST + RHODE ISLAND AVE,63,64,,,1001503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.914301,-77.027178,11TH ST + S ST,63,64,,,1001598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.917197,-77.027115,11TH ST + U ST,64,,,,1003053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.91894,-77.027114,11TH ST + W ST,64,,,,1003052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.900775,-77.026901,11TH ST NW + BETW H & NEW YORK AVE,64,G8,,,1001159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.922703,-77.026943,11TH ST NW + CLIFTON ST,64,D51,,,1001818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.92798,-77.027235,11TH ST NW + COLUMBUA RD,64,,,,1001980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.896388,-77.02718,11TH ST NW + E ST NW,54,54v1,63,64,1001018,P6,P6c,S2,S2v2,S2v3,S2v5,S4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.896001,-77.026882,11TH ST NW + E ST NW,16X,16Xc,16Xv1,54,1000991,54c,54cv1,63,64,P17,P19,P6,P6v1,S2,S2cv3,S4,W13,W13v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.923978,-77.026944,11TH ST NW + EUCLID ST,64,,,,1001857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.897671,-77.027201,11TH ST NW + F ST NW,63,64,P6,P6c,1001061,S2,S2v2,S2v3,S2v5,S4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.920623,-77.026897,11TH ST NW + FLORIDA AVE NW,64,,,,1001768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.898147,-77.026907,11TH ST NW + G ST NW,42,63,64,P17,1001068,P19,P6,P6v1,S2,S2cv3,S4,W13,W13v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.926051,-77.02694,11TH ST NW + GIRARD ST,64,,,,1001929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.899364,-77.026885,11TH ST NW + H ST NW,42,63,64,P17,1003728,P19,P6,P6v1,S2,S2cv3,S4,W13,W13v1,X2v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.899417,-77.027204,11TH ST NW + H ST NW,64,P6,P6c,,1001097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.92898,-77.027473,11TH ST NW + IRVING ST,64,H8,,,1002008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.928472,-77.027548,11TH ST NW + IRVING ST,64,H8,,,1003047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.902694,-77.027172,11TH ST NW + K ST NW,64,,,,1001249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.902812,-77.026898,11TH ST NW + K ST NW,64,G8,,,1001264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.904294,-77.027154,11TH ST NW + L ST NW,64,,,,1001300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.930356,-77.028014,11TH ST NW + LAMONT ST,64,H8,,,1003046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.905831,-77.027154,11TH ST NW + M ST NW,64,,,,1001341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.905524,-77.02692,11TH ST NW + M ST NW,64,G8,,,1001329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.90738,-77.027155,11TH ST NW + N ST NW,64,,,,1001371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.9071,-77.026914,11TH ST NW + N ST NW,64,G8,,,1001366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.909823,-77.027159,11TH ST NW + P ST NW,64,,,,1001464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.909543,-77.026914,11TH ST NW + P ST NW,64,G8,,,1001427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.932134,-77.028237,11TH ST NW + PARK RD,64,H8,,,1002102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.912473,-77.026925,11TH ST NW + R ST NW,63,64,,,1001545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.916833,-77.026968,11TH ST NW + U ST NW,64,,,,1001668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.914561,-77.026921,11TH ST NW + VERMONT AVE,64,,,,1001611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.919425,-77.026967,11TH ST NW + W ST NW,64,,,,1001743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.876863,-76.991439,11TH ST SE + M ST SE,V5,V7,V7c,V7cv1,1000521,V7v1,V7v2,V8,V9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.873492,-76.991194,11TH ST SE + O ST SE,90,92,92c,93,1003781,93cv1,A42,A42v1,A46,A46v1,A48,A48v1,P6,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.873425,-76.991384,11TH ST SE + O ST SE,90,90v2,92,93,1003780,A42,A42v1,A46,A48,A9,P6,V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.851832,-76.984726,12TH PL + BRUCE PL,W6,W6v1,W8,W8c,1000233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
