Address_City,Address_State,Address_Street,Address_Zip,Code,Lat,LineCode1,LineCode2,LineCode3,LineCode4,Lon,Name,StationTogether1,StationTogether2
Washington,DC,1525 20th St. NW,20036,A03,38.9095980575,RD,,,,-77.0434143597,Dupont Circle,,
Washington,DC,1001 Connecticut Avenue NW,20036,A02,38.9032019462,RD,,,,-77.0397008272,Farragut North,,
Washington,DC,607 13th St. NW,20005,A01,38.8983144732,RD,,,,-77.0280779971,Metro Center,C01,
Washington,DC,192 19th St. SE,20003,D08,38.8867090898,BL,OR,SV,,-76.9770889014,Stadium Armory,,
Washington,DC,4501 Wisconsin Avenue NW,20016,A07,38.9488514351,RD,,,,-77.0795873255,Tenleytown,,
Washington,DC,4200 Connecticut Avenue NW,20008,A06,38.9432652883,RD,,,,-77.0629861805,Van Ness UDC,,
Washington,DC,3599 Connecticut Avenue NW,20008,A05,38.9347628908,RD,,,,-77.0580425191,Cleveland Park,,
Washington,DC,"2700 Connecticut Ave., NW",20008,A04,38.9250851371,RD,,,,-77.0524180207,Woodley Park Zoo,,
Arlington,VA,2400 S. Smith Blvd.,22202,C10,38.8534163859,BL,YL,,,-77.0440422943,National Arpt,,
Greenbelt,MD,5717 Greenbelt Metro Drive,20740,E10,39.0111458605,GR,,,,-76.9110575731,Greenbelt,,
Alexandria,VA,700 N. West St.,22301,C12,38.8141436672,BL,YL,,,-77.053667574,Braddock Road,,
Silver Spring,MD,8400 Colesville Road,20910,B08,38.9939493747,RD,,,,-77.0310178268,Silver Spring,,
Forest Glen,MD,9730 Georgia Avenue,20910,B09,39.0149542752,RD,,,,-77.0429165548,Forest Glen,,
Washington,DC,4000 Minnesota Avenue NE,20019,D09,38.899191223,OR,,,,-76.9467477336,Minnesota Avenue,,
Washington,DC,701 Pennsylvania Avenue SE,20003,D06,38.8846222608,BL,OR,SV,,-76.9960011267,Eastern Market,,
Washington,DC,700 14th Street SE,20003,D07,38.8812632736,BL,OR,SV,,-76.9854953196,Potomac Avenue,,
Washington,DC,401 3rd Street SW,20024,D04,38.8850723551,BL,OR,SV,,-77.0158682169,Federal Center SW,,
Washington,DC,355 First Street SE,20003,D05,38.8850625009,BL,OR,SV,,-77.0051394199,Capitol South,,
Washington,DC,1200 Independence Avenue SW,20004,D02,38.888018702,BL,OR,SV,,-77.0280662342,Smithsonian,,
Washington,DC,600 Maryland Avenue SW,20024,D03,38.8848377279,BL,OR,SV,,-77.021908484,L'Enfant Plaza,F03,
Washington,DC,630 H St. NW,20001,B01,38.8983168097,RD,,,,-77.0219153904,Gallery Place,F01,
Washington,DC,450 F Street NW,20001,B02,38.8960903176,RD,,,,-77.0166389566,Judiciary Square,,
Washington,DC,701 First St. NE,20002,B03,38.8977660392,RD,,,,-77.0074142921,Union Station,,
Washington,DC,919 Rhode Island Avenue NE,20018,B04,38.9210596891,RD,,,,-76.9959369166,Rhode Island Avenue,,
Washington,DC,801 Michigan Avenue NE,20017,B05,38.9332109913,RD,,,,-76.9945342851,Brookland,,
Washington,DC,550 Galloway Street NE,20011,B06,38.9518467675,RD,,,,-77.0022030768,Fort Totten,E06,
Washington,DC,327 Cedar Street NW,20012,B07,38.976078531,RD,,,,-77.0181766987,Takoma,,
Hyattsville,MD,3000 Pennsy Drive,20785,D12,38.9335062344,OR,,,,-76.8911979676,Landover,,
Alexandria,VA,1900 King Street,22301,C13,38.8065861172,BL,YL,,,-77.0608112085,King Street,,
Arlington,VA,3100 Wilson Blvd,22201,K02,38.886704839,OR,SV,,,-77.0953940983,Clarendon,,
Washington,DC,4720 Minnesota Avenue NE,20019,D10,38.9081784965,OR,,,,-76.935256783,Deanwood,,
College Park,MD,4931 Calvert Road,20740,E09,38.9786336339,GR,,,,-76.9281249818,College Park,,
Huntington,VA,2501 Huntington Ave,22303,C15,38.7939158529,YL,,,,-77.0752057891,Huntington,,
Arlington,VA,4230 Fairfax Drive,22201,K04,38.8821828738,OR,SV,,,-77.113168835,Ballston,,
Largo,MD,Largo Town Center 9000 Lottsford Road,20774,G05,38.9050688072,BL,SV,,,-76.8420375202,Largo Town Center,,
Landover,MD,300 Garrett Morgan Blvd.,20785,G04,38.8938349282,BL,SV,,,-76.8680747681,Morgan Blvd,,
Arlington,VA,2100 Wilson Blvd,22201,K01,38.8901755312,OR,SV,,,-77.087131231,Court House,,
Washington,DC,4500 Benning Road,20019,G01,38.890975676,BL,SV,,,-76.9383648681,Benning Road,,
Suitland,MD,4704 Old Soper Road,20746,F11,38.8264463483,GR,,,,-76.9114642177,Branch Avenue,,
Capitol Heights,MD,100 Addison Road S.,20743,G03,38.8867478168,BL,SV,,,-76.89410791,Addison Road,,
Capitol Heights,MD,133 Central Avenue,20743,G02,38.8894658568,BL,SV,,,-76.9118081145,Capitol Heights,,
Vienna,VA,2700 Gallows Road,22180,K07,38.8836251359,OR,,,,-77.2271606721,Dunn Loring,,
Falls Church,VA,7040 Haycock Road,22043,K06,38.900780551,OR,,,,-77.1890948225,W Falls Church,,
Cheverly,MD,5501 Columbia Park,20785,D11,38.9166318546,OR,,,,-76.916628044,Cheverly,,
Fairfax,VA,9550 Saintsbury Drive,22031,K08,38.8776011238,OR,,,,-77.2726222569,Vienna,,
Rockville,MD,1600 Chapman Avenue,20852,A13,39.0624676517,RD,,,,-77.1208179517,Twinbrook,,
Rockville,MD,5500 Marinelli Road,20852,A12,39.0481513573,RD,,,,-77.112829859,White Flint,,
Bethesda,MD,10300 Rockville Pike,20852,A11,39.02926895,RD,,,,-77.10384972,Grosvenor,,
Bethesda,MD,8810 Rockville Pike,20814,A10,39.0000564843,RD,,,,-77.0969522905,Medical Center,,
Rockville,MD,15903 Somerville Drive,20855,A15,39.1199273249,RD,,,,-77.1646273343,Shady Grove,,
